10us,Module,Name,DemangledName,Type,Attributes,Comment
0x8AD90C,,dword_8AD90C,dword_8AD90C,int[],array,
0x8AD910,,dword_8AD910,dword_8AD910,int[],array,
0x8AD914,,dword_8AD914,dword_8AD914,int[],array,
0x8AE538,,word_8AE538,word_8AE538,__int16[],array,
0x8AE58C,,dword_8AE58C,dword_8AE58C,int[],array,
0x8AE598,,?soundSpeed,?soundSpeed,float[5],array,
0x8AE5AC,,dword_8AE5AC,dword_8AE5AC,int[],array,
0x8AF700,,word_8AF700,word_8AF700,__int16[],array,
0x8AF8A8,,byte_8AF8A8,byte_8AF8A8,char[],array,
0x8AF8A9,,byte_8AF8A9,byte_8AF8A9,char[],array,
0x8BA470,,word_8BA470,word_8BA470,__int16[],array,
0x8BA4D0,,word_8BA4D0,word_8BA4D0,__int16[],array,
0x8BA4D2,,word_8BA4D2,word_8BA4D2,__int16[],array,
0x8BBED0,,word_8BBED0,word_8BBED0,__int16[],array,
0x8BBEF8,,word_8BBEF8,word_8BBEF8,__int16[],array,
0x8BBEFA,,word_8BBEFA,word_8BBEFA,__int16[],array,
0x8BE5B8,,word_8BE5B8,word_8BE5B8,__int16[],array,
0x8BE620,,word_8BE620,word_8BE620,__int16[],array,
0x8BE622,,word_8BE622,word_8BE622,__int16[],array,
0x8C4288,,word_8C4288,word_8C4288,__int16[],array,
0x8C42B0,,word_8C42B0,word_8C42B0,__int16[],array,
0x8C42B2,,word_8C42B2,word_8C42B2,__int16[],array,
0x8C64AC,,word_8C64AC,word_8C64AC,__int16[],array,
0x8C64B8,,word_8C64B8,word_8C64B8,__int16[],array,
0x8C64BA,,word_8C64BA,word_8C64BA,__int16[],array,
0x8C65C0,,aGangrl1,aGangrl1,char[900],array,
0x8C6948,,word_8C6948,word_8C6948,__int16[],array,
0x8C694A,,word_8C694A,word_8C694A,__int16[],array,
0x8C694C,,byte_8C694C,byte_8C694C,char[],array,
0x8C6A68,,gSpeechContextLookup,gSpeechContextLookup,int[],array,
0x8C6A74,,word_8C6A74,word_8C6A74,__int16[],array,
0x8C8160,,word_8C8160,word_8C8160,__int16[],array,
0x8C8168,,word_8C8168,word_8C8168,__int16[],array,
0x8C87A8,,word_8C87A8,word_8C87A8,__int16[],array,
0x8C8930,,byte_8C8930,byte_8C8930,char[],array,
0x8C89F8,,word_8C89F8,word_8C89F8,__int16[],array,
0x8C8A54,,byte_8C8A54,byte_8C8A54,char[],array,
0x8C8A88,,word_8C8A88,word_8C8A88,__int16[],array,
0x8C8B88,,dword_8C8B88,dword_8C8B88,int,,
0x8C8B8C,,dword_8C8B8C,dword_8C8B8C,int,,
0x8C8BF0,,dword_8C8BF0,dword_8C8BF0,int[],array,
0x8C8C50,,dword_8C8C50,dword_8C8C50,int[],array,
0x8C8C54,,dword_8C8C54,dword_8C8C54,int[],array,
0x8C8CB0,,dword_8C8CB0,dword_8C8CB0,int[],array,
0x8C8CB4,,dword_8C8CB4,dword_8C8CB4,int[],array,
0x8C8FB0,,dword_8C8FB0,dword_8C8FB0,int,,
0x8C8FB4,,dword_8C8FB4,dword_8C8FB4,int,,
0x8C9010,,gRadioNumMusicTracksPerStation,gRadioNumMusicTracksPerStation,int[],array,
0x8C9040,,gRadioMusicTracks,gRadioMusicTracks,int[],array,
0x8C9610,,dword_8C9610,dword_8C9610,int[],array,
0x8C9614,,dword_8C9614,dword_8C9614,int[],array,
0x8CA1B0,,dword_8CA1B0,dword_8CA1B0,int[],array,
0x8CA1B4,,dword_8CA1B4,dword_8CA1B4,int[],array,
0x8CAD50,,dword_8CAD50,dword_8CAD50,int[],array,
0x8CADD0,,dword_8CADD0,dword_8CADD0,int[],array,
0x8CB280,,dword_8CB280,dword_8CB280,int[],array,
0x8CB6F8,,AERadioTrackManager,AERadioTrackManager,CAERadioTrackManager,,
0x8CBA70,,stru_8CBA70,stru_8CBA70,DSFXParamEq[6],array,
0x8CBB28,,_audioFileTypes,_audioFileTypes,char[],array,
0x8CBCFC,,f_2.5,f_2_5,float,,
0x8CBDBC,,dword_8CBDBC,dword_8CBDBC,int,,
0x8CBDC0,,dword_8CBDC0,dword_8CBDC0,int,,
0x8CBF08,,dword_8CBF08,dword_8CBF08,float,,
0x8CBF0C,,flt_8CBF0C,flt_8CBF0C,float,,
0x8CBF10,,flt_8CBF10,flt_8CBF10,float,,
0x8CBF14,,dword_8CBF14,dword_8CBF14,float,,
0x8CBF18,,dword_8CBF18,dword_8CBF18,float,,
0x8CBF1C,,dword_8CBF1C,dword_8CBF1C,float,,
0x8CBF20,,flt_8CBF20,flt_8CBF20,float,,
0x8CBF2C,,dword_8CBF2C,dword_8CBF2C,float,,
0x8CBF30,,dword_8CBF30,dword_8CBF30,float,,
0x8CBF38,,dword_8CBF38,dword_8CBF38,float,,
0x8CBF3C,,dword_8CBF3C,dword_8CBF3C,float,,
0x8CBF44,,flt_8CBF44,flt_8CBF44,float,,
0x8CBF54,,flt_8CBF54,flt_8CBF54,float[],array,
0x8CC15C,,flt_8CC15C,flt_8CC15C,float[],array,
0x8CC160,,flt_8CC160,flt_8CC160,float[],array,
0x8CC164,,flt_8CC164,flt_8CC164,float[],array,
0x8CC168,,flt_8CC168,flt_8CC168,float[],array,
0x8CC184,,flt_8CC184,flt_8CC184,float[],array,
0x8CC188,,flt_8CC188,flt_8CC188,float[],array,
0x8CC18C,,flt_8CC18C,flt_8CC18C,float[],array,
0x8CC190,,flt_8CC190,flt_8CC190,float[],array,
0x8CC1C0,,flt_8CC1C0,flt_8CC1C0,float[],array,
0x8CC1D8,,word_8CC1D8,word_8CC1D8,__int16[],array,
0x8CC1DA,,word_8CC1DA,word_8CC1DA,__int16[],array,
0x8CC29C,,flt_8CC29C,flt_8CC29C,float[],array,
0x8CC300,,gfThunderFrequencyVariations,gfThunderFrequencyVariations,float[3],array,
0x8CC30C,,_ZN21CAEWeatherAudioEntity14m_sfRainVolumeE,CAEWeatherAudioEntity::m_sfRainVolume,float,,
0x8CC3E0,,dword_8CC3E0,dword_8CC3E0,int[],array,
0x8CC3F4,,dword_8CC3F4,dword_8CC3F4,int[],array,
0x8CC408,,ZOOM_THREE_DISTANCE,ZOOM_THREE_DISTANCE,int[],array,
0x8CC41C,,ZmOneAlphaOffset,ZmOneAlphaOffset,float[5],array,
0x8CC430,,ZmTwoAlphaOffset,ZmTwoAlphaOffset,float[5],array,
0x8CC444,,ZmThreeAlphaOffset,ZmThreeAlphaOffset,float[5],array,
0x8CC4B4,,AIMWEAPON_RIFLE1_ZOOM,AIMWEAPON_RIFLE1_ZOOM,float,,
0x8CC4B8,,AIMWEAPON_RIFLE2_ZOOM,AIMWEAPON_RIFLE2_ZOOM,float,,
0x8CC4C0,,AIMWEAPON_SETTINGS,AIMWEAPON_SETTINGS,tAimingCamData[4],array,
0x8CC548,,flt_8CC548,flt_8CC548,float[],array,
0x8CC54C,,dword_8CC54C,dword_8CC54C,int[],array,
0x8CC550,,dword_8CC550,dword_8CC550,int[],array,
0x8CC554,,dword_8CC554,dword_8CC554,int[],array,
0x8CC558,,dword_8CC558,dword_8CC558,int[],array,
0x8CC57C,,dword_8CC57C,dword_8CC57C,int[],array,
0x8CC580,,dword_8CC580,dword_8CC580,int[],array,
0x8CC600,,CARCAM_SET,CARCAM_SET,tVehicleCamParametersSet[7],array,
0x8CC7A4,,a1,a1,long double,,
0x8CC828,,dword_8CC828,dword_8CC828,int[],array,
0x8CC858,,dword_8CC858,dword_8CC858,int[],array,
0x8CC874,,dword_8CC874,dword_8CC874,int[],array,
0x8CC894,,dword_8CC894,dword_8CC894,int[],array,
0x8CC8B0,,dword_8CC8B0,dword_8CC8B0,int[],array,
0x8CC8E0,,dword_8CC8E0,dword_8CC8E0,int[],array,
0x8CCBCC,,flt_8CCBCC,flt_8CCBCC,float[],array,
0x8CCBF0,,flt_8CCBF0,flt_8CCBF0,float[],array,
0x8CCC3C,,in,in,CVector,,
0x8CCC58,,this,this,RwMatrixTag *,,
0x8CCCA4,,dword_8CCCA4,dword_8CCCA4,float,,
0x8CCD28,,dword_8CCD28,dword_8CCD28,float,,
0x8CCD2C,,b,b,float,,
0x8CCD54,,flt_8CCD54,flt_8CCD54,float,,
0x8CCD68,,flt_8CCD68,flt_8CCD68,float,,
0x8CCD70,,flt_8CCD70,flt_8CCD70,float,,
0x8CCEA0,,flt_8CCEA0,flt_8CCEA0,float,,
0x8CCF10,,dword_8CCF10,dword_8CCF10,float,,
0x8CCF1C,,dword_8CCF1C,dword_8CCF1C,float,,
0x8CCF23,,byte_8CCF23,byte_8CCF23,char[],array,
0x8CCF24,CClock,_ZN6CClock11daysInMonthE,CClock::daysInMonth,const unsigned __int8[12],array,
0x8CCF30,,flt_8CCF30,flt_8CCF30,float[],array,
0x8CCF6C,,flt_8CCF6C,flt_8CCF6C,float[],array,
0x8CCF70,,flt_8CCF70,flt_8CCF70,float[],array,
0x8CD4DC,,dword_8CD4DC,dword_8CD4DC,int[],array,
0x8CD4F4,,_miTrafficlight1,_miTrafficlight1,__int16,,
0x8CD4F8,,_miMTraffic4,_miMTraffic4,__int16,,
0x8CD4FC,,_miMTraffic1,_miMTraffic1,__int16,,
0x8CD500,,_miVgsstriplights1,_miVgsstriplights1,__int16,,
0x8CD504,,_miMtraffic2,_miMtraffic2,__int16,,
0x8CD508,,_miCjTrafficLight3,_miCjTrafficLight3,__int16,,
0x8CD50C,,_miCjTrafficLight4,_miCjTrafficLight4,__int16,,
0x8CD510,,_miCjTrafficLight5,_miCjTrafficLight5,__int16,,
0x8CD514,,_miGayTrafficLight,_miGayTrafficLight,__int16,,
0x8CD518,,_miLamppost1,_miLamppost1,__int16,,
0x8CD51C,,_miLamppost2,_miLamppost2,__int16,,
0x8CD520,,_miLamppost3,_miLamppost3,__int16,,
0x8CD524,,_miDoublestreetlight1,_miDoublestreetlight1,__int16,,
0x8CD528,,_miStreetlamp1,_miStreetlamp1,__int16,,
0x8CD52C,,_miStreetlamp2,_miStreetlamp2,__int16,,
0x8CD530,,_miDocCraneCab0,_miDocCraneCab0,__int16,,
0x8CD534,,_miDocCraneCab01,_miDocCraneCab01,__int16,,
0x8CD538,,_miDocCraneCab02,_miDocCraneCab02,__int16,,
0x8CD53C,,_miDocCraneCab03,_miDocCraneCab03,__int16,,
0x8CD540,,MODELID_CRANE_5,MODELID_CRANE_5,__int16,,
0x8CD544,,MODELID_CRANE_6,MODELID_CRANE_6,__int16,,
0x8CD548,,_miParkingmeter,_miParkingmeter,__int16,,
0x8CD54C,,_miParkingmeterG,_miParkingmeterG,__int16,,
0x8CD550,,_miMallFans,_miMallFans,__int16,,
0x8CD554,,_miHtlFanRotateNt,_miHtlFanRotateNt,__int16,,
0x8CD558,,_miHtlFanRotateDy,_miHtlFanRotateDy,__int16,,
0x8CD55C,,_miHotroomfan,_miHotroomfan,__int16,,
0x8CD560,,MI_PHONEBOOTH1,MI_PHONEBOOTH1,__int16,,
0x8CD564,,_miWastebin,_miWastebin,__int16,,
0x8CD568,,_miBin1,_miBin1,__int16,,
0x8CD56C,,_miPostbox1,_miPostbox1,__int16,,
0x8CD570,,_miNewsstand1,_miNewsstand1,__int16,,
0x8CD574,,_miTrafficcone,_miTrafficcone,__int16,,
0x8CD578,,_miDump1,_miDump1,__int16,,
0x8CD57C,,_miDynRoadbarrier6,_miDynRoadbarrier6,__int16,,
0x8CD580,,_miLaFuckcar1,_miLaFuckcar1,__int16,,
0x8CD584,,_miLaFuckcar2,_miLaFuckcar2,__int16,,
0x8CD588,,_miBussign1,_miBussign1,__int16,,
0x8CD58C,,MI_NOPARKINGSIGN1,MI_NOPARKINGSIGN1,__int16,,
0x8CD590,,MI_PHONESIGN,MI_PHONESIGN,__int16,,
0x8CD594,,MI_FIRE_HYDRANT,MI_FIRE_HYDRANT,__int16,,
0x8CD598,,MI_COLLECTABLE1,MI_COLLECTABLE1,__int16,,
0x8CD59C,,MI_MONEY,MI_MONEY,__int16,,
0x8CD5A0,,MI_CARMINE,MI_CARMINE,__int16,,
0x8CD5A4,,MI_NAUTICALMINE,MI_NAUTICALMINE,__int16,,
0x8CD5A8,,MI_TELLY,MI_TELLY,__int16,,
0x8CD5AC,,MI_BRIEFCASE,MI_BRIEFCASE,__int16,,
0x8CD5B0,,_miWgalsssmash,_miWgalsssmash,__int16,,
0x8CD5B4,,_miGlassfxComposh,_miGlassfxComposh,__int16,,
0x8CD5BC,,_miAdrenaline,_miAdrenaline,__int16,,
0x8CD5C0,,_miBodyarmor,_miBodyarmor,__int16,,
0x8CD5C4,,_miInfo,_miInfo,__int16,,
0x8CD5C8,,_miHealth,_miHealth,__int16,,
0x8CD5CC,,_miBonus,_miBonus,__int16,,
0x8CD5D0,,_miBribe,_miBribe,__int16,,
0x8CD5D4,,_miKillfrenzy,_miKillfrenzy,__int16,,
0x8CD5D8,,_miCamerapickup,_miCamerapickup,__int16,,
0x8CD5DC,,_miGunPara,_miGunPara,__int16,,
0x8CD5E0,,_miBigdollar,_miBigdollar,__int16,,
0x8CD5E4,,_miPickupsave,_miPickupsave,__int16,,
0x8CD5E8,,_miPropertyLocked,_miPropertyLocked,__int16,,
0x8CD5EC,,_miPropertyFsale,_miPropertyFsale,__int16,,
0x8CD5F0,,_miClosesp,_miClosesp,__int16,,
0x8CD5F4,,_miKillfrenzy2plyr,_miKillfrenzy2plyr,__int16,,
0x8CD5F8,,_mi2player,_mi2player,__int16,,
0x8CD5FC,,_miBollardlight,_miBollardlight,__int16,,
0x8CD600,,_miBarBarrier10,_miBarBarrier10,__int16,,
0x8CD604,,_miBarBarrier12,_miBarBarrier12,__int16,,
0x8CD608,,_miBouy,_miBouy,__int16,,
0x8CD60C,,_miParktable1,_miParktable1,__int16,,
0x8CD610,,_miLamppost1_1,_miLamppost1_1,__int16,,
0x8CD614,,_miMlamppost,_miMlamppost,__int16,,
0x8CD618,,_miRoadworkbarrier,_miRoadworkbarrier,__int16,,
0x8CD61C,,_miLittlehaPolice,_miLittlehaPolice,__int16,,
0x8CD620,,_miTelgrphpole02,_miTelgrphpole02,__int16,,
0x8CD624,,_miTrafficlight1_0,_miTrafficlight1_0,__int16,,
0x8CD628,,_miParkbench1,_miParkbench1,__int16,,
0x8CD62C,,_miOdLightbeam,_miOdLightbeam,__int16,,
0x8CD630,,_miApRadar101,_miApRadar101,__int16,,
0x8CD634,,_miRcbomb,_miRcbomb,__int16,,
0x8CD638,,_meBeachball,_meBeachball,__int16,,
0x8CD63C,,_miSandcastle1,_miSandcastle1,__int16,,
0x8CD640,,_miSandcastle2,_miSandcastle2,__int16,,
0x8CD644,,_miJellyfish,_miJellyfish,__int16,,
0x8CD648,,_miJellyfish01,_miJellyfish01,__int16,,
0x8CD64C,,_miFish1single,_miFish1single,__int16,,
0x8CD650,,_miFish1s,_miFish1s,__int16,,
0x8CD654,,_miFish2single,_miFish2single,__int16,,
0x8CD658,,_miFish2s,_miFish2s,__int16,,
0x8CD65C,,_miFish3single,_miFish3single,__int16,,
0x8CD660,,_miFish3s,_miFish3s,__int16,,
0x8CD664,,_miTurtle,_miTurtle,__int16,,
0x8CD668,,_miDolphin,_miDolphin,__int16,,
0x8CD66C,,_miShark,_miShark,__int16,,
0x8CD670,,_miSubmarine,_miSubmarine,__int16,,
0x8CD674,,_miEscStep,_miEscStep,__int16,,
0x8CD678,,_miEscStep8,_miEscStep8,__int16,,
0x8CD67C,,_miLoungeWoodUp,_miLoungeWoodUp,__int16,,
0x8CD680,,_miLoungeTowelUp,_miLoungeTowelUp,__int16,,
0x8CD684,,_miLoungeWoodDn,_miLoungeWoodDn,__int16,,
0x8CD688,,_miLotion,_miLotion,__int16,,
0x8CD68C,,_miBeachtowel01,_miBeachtowel01,__int16,,
0x8CD690,,_miBeachtowel02,_miBeachtowel02,__int16,,
0x8CD694,,_miBeachtowel03,_miBeachtowel03,__int16,,
0x8CD698,,_miBeachtowel04,_miBeachtowel04,__int16,,
0x8CD69C,,_miBlimpNight,_miBlimpNight,__int16,,
0x8CD6A0,,_miBlimpDay,_miBlimpDay,__int16,,
0x8CD6A4,,_miYtMainBody,_miYtMainBody,__int16,,
0x8CD6A8,,_miYtMainBody2,_miYtMainBody2,__int16,,
0x8CD6AC,,_miMilSamsite,_miMilSamsite,__int16,,
0x8CD6B0,,_miMilSamsiteSFXRF,_miMilSamsiteSFXRF,__int16,,
0x8CD6B4,,_miTraincross2,_miTraincross2,__int16,,
0x8CD6B8,,_miTraincross1,_miTraincross1,__int16,,
0x8CD6BC,,_miMagnoCrane03,_miMagnoCrane03,__int16,,
0x8CD6C0,,_miTwrCraneM02,_miTwrCraneM02,__int16,,
0x8CD6C4,,_miQuarryCranearm,_miQuarryCranearm,__int16,,
0x8CD6C8,,_miKmbContainerRed,_miKmbContainerRed,__int16,,
0x8CD6CC,,_miKmbContainerYel,_miKmbContainerYel,__int16,,
0x8CD6D0,,_miKmbContainerBlue,_miKmbContainerBlue,__int16,,
0x8CD6D4,,_miBarrel4,_miBarrel4,__int16,,
0x8CD6D8,,_miKmbContainerOpen,_miKmbContainerOpen,__int16,,
0x8CD6DC,,_miBlockpallet,_miBlockpallet,__int16,,
0x8CD6E0,,_miMagnocrane5SFS,_miMagnocrane5SFS,__int16,,
0x8CD6E4,,_miKmbDeadarm,_miKmbDeadarm,__int16,,
0x8CD6E8,,_miKmbDeadleg,_miKmbDeadleg,__int16,,
0x8CD6EC,,_miKmbDeadhead,_miKmbDeadhead,__int16,,
0x8CD6F0,,_miKmbDeadtorso,_miKmbDeadtorso,__int16,,
0x8CD6F4,,_miGrasshouse,_miGrasshouse,__int16,,
0x8CD6F8,,_miGrassplant,_miGrassplant,__int16,,
0x8CD6FC,,_miCjPlayerHarness,_miCjPlayerHarness,__int16,,
0x8CD700,,_miIndusMagnet,_miIndusMagnet,__int16,,
0x8CD704,,_miDynQuarryrock01,_miDynQuarryrock01,__int16,,
0x8CD708,,_miDynQuarryrock02,_miDynQuarryrock02,__int16,,
0x8CD70C,,_miDynQuarryrock03,_miDynQuarryrock03,__int16,,
0x8CD710,,_miKmbAtm3,_miKmbAtm3,__int16,,
0x8CD714,,_miDeadTiedCop,_miDeadTiedCop,__int16,,
0x8CD718,,_miBonyrdwindsock,_miBonyrdwindsock,__int16,,
0x8CD71C,,_mimDynWrekingBall,_mimDynWrekingBall,__int16,,
0x8CD720,,_miBomb,_miBomb,__int16,,
0x8CD724,,_miWongDish,_miWongDish,__int16,,
0x8CD728,,_miCjBearBottle,_miCjBearBottle,__int16,,
0x8CD72C,,_miCjCiggy,_miCjCiggy,__int16,,
0x8CD740,,_miMiniMagnet,_miMiniMagnet,__int16,,
0x8CD744,,_miAbCarcass,_miAbCarcass,__int16,,
0x8CD748,,_miImySmashWall,_miImySmashWall,__int16,,
0x8CD74C,,_miParaPack,_miParaPack,__int16,,
0x8CD750,,_miCjOyster,_miCjOyster,__int16,,
0x8CD754,,_miCjHorseShoe,_miCjHorseShoe,__int16,,
0x8CD758,,MI_OFFROAD_WHEEL,MI_OFFROAD_WHEEL,__int16,,
0x8CD75C,,_miFlare,_miFlare,__int16,,
0x8CD760,,MI_NITRO_BOTTLE_SMALL,MI_NITRO_BOTTLE_SMALL,__int16,,
0x8CD764,,_miNtoBL,_miNtoBL,__int16,,
0x8CD768,,_miNtoBTw,_miNtoBTw,__int16,,
0x8CD76C,,MI_HYDRAULICS,MI_HYDRAULICS,__int16,,
0x8CD770,,MI_STEREO_UPGRADE,MI_STEREO_UPGRADE,__int16,,
0x8CD774,,_miBballCol,_miBballCol,__int16,,
0x8CD778,,_miKPoolballcue,_miKPoolballcue,__int16,,
0x8CD77C,,_miPunchbagnu,_miPunchbagnu,__int16,,
0x8CD780,,_miImyBbox,_miImyBbox,__int16,,
0x8CD818,,___indices,___indices,RwImVertexIndex,,
0x8CDE58,,flt_8CDE58,flt_8CDE58,const float,,
0x8CDE5C,,flt_8CDE5C,flt_8CDE5C,const float,,
0x8CDE60,,flt_8CDE60,flt_8CDE60,const float,,
0x8CDE64,,flt_8CDE64,flt_8CDE64,const float,,
0x8CDE68,,flt_8CDE68,flt_8CDE68,const float,,
0x8CDE6C,,flt_8CDE6C,flt_8CDE6C,const float,,
0x8CDE70,,flt_8CDE70,flt_8CDE70,const float,,
0x8CDE74,,flt_8CDE74,flt_8CDE74,const float,,
0x8CDE78,,flt_8CDE78,flt_8CDE78,const float,,
0x8CDE7C,,flt_8CDE7C,flt_8CDE7C,const float,,
0x8CDE80,,flt_8CDE80,flt_8CDE80,const float,,
0x8CDE84,,flt_8CDE84,flt_8CDE84,const float,,
0x8CDE88,,flt_8CDE88,flt_8CDE88,const float,,
0x8CDE8C,,flt_8CDE8C,flt_8CDE8C,const float,,
0x8CDE90,,flt_8CDE90,flt_8CDE90,const float,,
0x8CDE94,,flt_8CDE94,flt_8CDE94,const float,,
0x8CDE98,,flt_8CDE98,flt_8CDE98,const float,,
0x8CDE9C,,flt_8CDE9C,flt_8CDE9C,const float,,
0x8CDEA0,,flt_8CDEA0,flt_8CDEA0,const float,,
0x8CDEA4,,flt_8CDEA4,flt_8CDEA4,const float,,
0x8CDEA8,,flt_8CDEA8,flt_8CDEA8,const float,,
0x8CDEAC,,flt_8CDEAC,flt_8CDEAC,const float,,
0x8CDEB0,,flt_8CDEB0,flt_8CDEB0,const float,,
0x8CDEB4,,flt_8CDEB4,flt_8CDEB4,const float,,
0x8CDEB8,,flt_8CDEB8,flt_8CDEB8,const float,,
0x8CDEBC,,flt_8CDEBC,flt_8CDEBC,const float,,
0x8CDEC0,,flt_8CDEC0,flt_8CDEC0,const float,,
0x8CDEC4,,dword_8CDEC4,dword_8CDEC4,float,,
0x8CDEC8,,dword_8CDEC8,dword_8CDEC8,float,,
0x8CDECC,,timeCycleStartHours,timeCycleStartHours,char[],array,
0x8CDED8,,timeCycleStartMinutes,timeCycleStartMinutes,char[],array,
0x8CDEF4,,_ZN6CWorld15SnookerTableMaxE,CWorld::SnookerTableMax,CVector,,
0x8CDF00,,_ZN6CWorld15SnookerTableMinE,CWorld::SnookerTableMin,CVector,,
0x8CE008,,MenuPages,MenuPages,CMenuPage[44],array,
0x8D06E0,,airstrip_table,airstrip_table,airstrip_info[4],array,
0x8D0920,,_ZN6CRadar11m_radarRectE,CRadar::m_radarRect,CRect,,
0x8D0950,,CBArray,CBArray,int[],array,
0x8D0A4C,,off_8D0A4C,off_8D0A4C,char *,,
0x8D0A50,,off_8D0A50,off_8D0A50,char *,,
0x8D0A54,,off_8D0A54,off_8D0A54,char *,,
0x8D0A58,,off_8D0A58,off_8D0A58,char *,,
0x8D0A5C,,off_8D0A5C,off_8D0A5C,char *,,
0x8D0A60,,off_8D0A60,off_8D0A60,char *,,
0x8D0A64,,off_8D0A64,off_8D0A64,char *,,
0x8D0A68,,off_8D0A68,off_8D0A68,char *,,
0x8D0A6C,,off_8D0A6C,off_8D0A6C,char *,,
0x8D0A70,,off_8D0A70,off_8D0A70,char *,,
0x8D0A74,,off_8D0A74,off_8D0A74,char *,,
0x8D0A78,,off_8D0A78,off_8D0A78,char *,,
0x8D0A7C,,name,name,char *,,
0x8D0A80,,off_8D0A80,off_8D0A80,char *,,
0x8D0A88,,off_8D0A88,off_8D0A88,char *,,
0x8D0A8C,,off_8D0A8C,off_8D0A8C,char *,,
0x8D0A90,,off_8D0A90,off_8D0A90,char *,,
0x8D0A94,,off_8D0A94,off_8D0A94,char *,,
0x8D0A98,,off_8D0A98,off_8D0A98,char *,,
0x8D0A9C,,off_8D0A9C,off_8D0A9C,char *,,
0x8D0AA0,,off_8D0AA0,off_8D0AA0,char *,,
0x8D12CC,,_ZN24CCustomCarEnvMapPipeline26ms_specularMapPluginOffsetE,CCustomCarEnvMapPipeline::ms_specularMapPluginOffset,DWORD,,
0x8D12D8,,D3D9Material,D3D9Material,D3DMATERIAL9,,
0x8D131C,,D3D9SurfaceProps,D3D9SurfaceProps,RwSurfaceProperties,,
0x8D1328,,D3D9RGBA,D3D9RGBA,RwRGBA,,
0x8D132C,,_ZN14CGrassRenderer9m_farDistE,CGrassRenderer::m_farDist,float,,
0x8D1344,,byte_8D1344,byte_8D1344,char[],array,
0x8D1350,,byte_8D1350,byte_8D1350,char[],array,
0x8D135C,,byte_8D135C,byte_8D135C,char[],array,
0x8D13A8,,boneOffsets,boneOffsets,CVector[],array,
0x8D21DC,,i_350,i_350,const int,,
0x8D22A0,,flt_8D22A0,flt_8D22A0,float,,
0x8D232C,,axisX,axisX,RwV3d,,
0x8D2338,,axisY,axisY,RwV3d,,
0x8D2364,,_ZN29CDecisionMakerTypesFileLoader15ms_ped_DM_NamesE,CDecisionMakerTypesFileLoader::ms_ped_DM_Names,char *,,
0x8D2378,,_ZN29CDecisionMakerTypesFileLoader15ms_grp_DM_NamesE,CDecisionMakerTypesFileLoader::ms_grp_DM_Names,char *,,
0x8D2440,,size,size,float,,
