10en,Module,Name,DemangledName,Type,RawType,Size,DefaultValues,Comment,IsReadOnly
0x5F5B14,,MI_PICKUP_BODYARMOUR,MI_PICKUP_BODYARMOUR,,,1,,,0
0x5F5B18,,MI_PICKUP_INFO,MI_PICKUP_INFO,,,1,,,0
0x5F5B1C,,MI_PICKUP_HEALTH,MI_PICKUP_HEALTH,,,1,,,0
0x5F5B20,,MI_PICKUP_BONUS,MI_PICKUP_BONUS,,,1,,,0
0x5F5B24,,MI_PICKUP_BRIBE,MI_PICKUP_BRIBE,,,1,,,0
0x5F5B28,,MI_PICKUP_KILLFRENZY,MI_PICKUP_KILLFRENZY,,,1,,,0
0x5F5B2C,,MI_PICKUP_CAMERA,MI_PICKUP_CAMERA,,,1,,,0
0x5F5B4C,,MI_PETROLPUMP,MI_PETROLPUMP,,,1,,,0
0x5F5B50,,MI_BODYCAST,MI_BODYCAST,,,1,,,0
0x5F5B5C,,MI_BUOY,MI_BUOY,,,1,,,0
0x5F5B64,,MI_SUBWAY1,MI_SUBWAY1,,,1,,,0
0x5F5B68,,MI_SUBWAY2,MI_SUBWAY2,,,1,,,0
0x5F5B6C,,MI_SUBWAY3,MI_SUBWAY3,,,1,,,0
0x5F5B70,,MI_SUBWAY4,MI_SUBWAY4,,,1,,,0
0x5F5B74,,MI_SUBWAY5,MI_SUBWAY5,,,1,,,0
0x5F5B78,,MI_SUBWAY6,MI_SUBWAY6,,,1,,,0
0x5F5B7C,,MI_SUBWAY7,MI_SUBWAY7,,,1,,,0
0x5F5B80,,MI_SUBWAY8,MI_SUBWAY8,,,1,,,0
0x5F5B84,,MI_SUBWAY9,MI_SUBWAY9,,,1,,,0
0x5F5B88,,MI_SUBWAY10,MI_SUBWAY10,,,1,,,0
0x5F5B8C,,MI_SUBWAY11,MI_SUBWAY11,,,1,,,0
0x5F5B90,,MI_SUBWAY12,MI_SUBWAY12,,,1,,,0
0x5F5B94,,MI_SUBWAY13,MI_SUBWAY13,,,1,,,0
0x5F5B98,,MI_SUBWAY14,MI_SUBWAY14,,,1,,,0
0x5F5B9C,,MI_SUBWAY15,MI_SUBWAY15,,,1,,,0
0x5F5BA0,,MI_SUBWAY16,MI_SUBWAY16,,,1,,,0
0x5F5BA4,,MI_SUBWAY17,MI_SUBWAY17,,,1,,,0
0x5F5BA8,,MI_SUBWAY18,MI_SUBWAY18,,,1,,,0
0x5F5BC4,,MI_FILES,MI_FILES,,,1,,,0
0x5F69D0,,_ZTV9CPhysical,`vtable for'CPhysical,,,1,,,0
0x5F6A28,,_ZTV10CPlaceable,`vtable for'CPlaceable,,,1,,,0
0x5F6EF8,,_ZL14gRadarTexNames,gRadarTexNames,,,1,,,0
0x5F7610,,dwPerfFrequency,dwPerfFrequency,,,1,,,0
0x5F7614,CTimer,_ZN6CTimer31m_snTimeInMillisecondsPauseModeE,CTimer::m_snTimeInMillisecondsPauseMode,int,,4,,,0
0x5F76C8,,_ZN9CTimeStep12ms_fTimeStepE,CTimeStep::ms_fTimeStep,float,,4,,,0
0x5F76CC,,_ZN9CTimeStep19ms_fFramesPerUpdateE,CTimeStep::ms_fFramesPerUpdate,float,,4,,,0
0x5F76D0,,_ZN9CTimeStep13ms_fTimeScaleE,CTimeStep::ms_fTimeScale,float,,4,,,0
0x5F7714,,_ZN7CWanted18MaximumWantedLevelE,CWanted::MaximumWantedLevel,,,1,,,0
0x5F7718,,_ZN7CWanted19nMaximumWantedLevelE,CWanted::nMaximumWantedLevel,,,1,,,0
0x5F7C08,,_ZTV13CCutsceneHead,`vtable for'CCutsceneHead,,,1,,,0
0x5F7C80,,_ZTV15CCutsceneObject,`vtable for'CCutsceneObject,,,1,,,0
0x5F7CEC,,_ZTV12CDummyObject,`vtable for'CDummyObject,,,1,,,0
0x5F7D4C,,_ZN7CObject15nBodyCastHealthE,CObject::nBodyCastHealth,,,1,,,0
0x5F7DD4,,_ZTV7CObject,`vtable for'CObject,,,1,,,0
0x5F8030,,_ZTV15CParticleObject,`vtable for'CParticleObject,,,1,,,0
0x5F8048,,_ZTV11CProjectile,`vtable for'CProjectile,,,1,,,0
0x5F80B8,,x2,x2,float,,4,,,0
0x5F819C,,_ZTV12CCivilianPed,`vtable for'CCivilianPed,,,1,,,0
0x5F82A4,,_ZTV7CCopPed,`vtable for'CCopPed,,,1,,,0
0x5F8374,,_ZTV13CEmergencyPed,`vtable for'CEmergencyPed,,,1,,,0
0x5F8438,,x1,x1,const float,,4,0.0f,,0
0x5F8C2C,,_ZTV4CPed,`vtable for'CPed,,,1,,,0
0x5F9858,,tFightMoves,tFightMoves,char[],,1,,,0
0x5F9F74,,_ZN6CPedIK18ms_headRestoreInfoE,CPedIK::ms_headRestoreInfo,,,1,,,0
0x5F9F8C,,_ZN6CPedIK12ms_torsoInfoE,CPedIK::ms_torsoInfo,,,1,,,0
0x5FA30C,,y1,y1,float,,4,,,0
0x5FA500,,_ZTV10CPlayerPed,`vtable for'CPlayerPed,,,1,,,0
0x5FA570,,_ZN11CPopulation23m_AllRandomPedsThisTypeE,CPopulation::m_AllRandomPedsThisType,,,1,,,0
0x5FA578,,aSafeZones,aSafeZones,int[],,4,,,0
0x5FAB58,,_ZTV14CBaseModelInfo,`vtable for'CBaseModelInfo,,,1,,,0
0x5FAF44,,gpCoronaTexture,gpCoronaTexture,int,,4,,,0
0x5FBC6C,CDraw,_ZN5CDraw7ms_fFOVE,CDraw::ms_fFOV,float,,4,,,0
0x5FDF74,,_ZTV13CMloModelInfo,`vtable for'CMloModelInfo,,,1,,,0
0x5FDF98,,_ZTV16CSimpleModelInfo,`vtable for'CSimpleModelInfo,,,1,,,0
0x5FDFB8,,_ZTV14CTimeModelInfo,`vtable for'CTimeModelInfo,,,1,,,0
0x5FDFD8,,_ZTV17CVehicleModelInfo,`vtable for'CVehicleModelInfo,,,1,,,0
0x5FDFFC,,_ZTV13CPedModelInfo,`vtable for'CPedModelInfo,,,1,,,0
0x5FE020,,_ZTV15CClumpModelInfo,`vtable for'CClumpModelInfo,,,1,,,0
0x5FE044,,_ZTV19CXtraCompsModelInfo,`vtable for'CXtraCompsModelInfo,,,1,,,0
0x5FE068,,_ZTV9CInstance,`vtable for'CInstance,,,1,,,0
0x5FE3F8,,size,size,float,,4,,,0
0x5FE678,,path,path,const char *,,4,,,0
0x5FE7A4,,_ZN13CPedModelInfo9m_pPedIdsE,CPedModelInfo::m_pPedIds,,,1,,,0
0x5FF2EC,,_ZN17CVehicleModelInfo13ms_compsToUseE,CVehicleModelInfo::ms_compsToUse,,,1,,,0
0x5FF634,,boatIds,boatIds,,,1,,,0
0x5FF6D8,,trainIds,trainIds,,,1,,,0
0x5FF788,,heliIds,heliIds,,,1,,,0
0x5FF838,,planeIds,planeIds,,,1,,,0
0x5FF8BC,,bikeIds,bikeIds,,,1,,,0
0x5FF988,,_ZN17CVehicleModelInfo15ms_vehicleDescsE,CVehicleModelInfo::ms_vehicleDescs,,,1,,,0
0x5FF9A0,,wheelIds,wheelIds,int[],,4,,,0
0x5FFBAC,,Windyness,Windyness,float[],,4,,,0
0x5FFBC4,,_ZN8CWeather11SoundHandleE,CWeather::SoundHandle,int,,4,,,0
0x5FFBC8,,WeatherTypesList,WeatherTypesList,__int16[],,128,,,0
0x60006C,,_ZL9gGeomList,gGeomList,,,1,,,0
0x60009C,,pExtraDirectionals,pExtraDirectionals,int[],,4,,,0
0x600124,,_ZN18CVisibilityPlugins21ms_atomicPluginOffsetE,CVisibilityPlugins::ms_atomicPluginOffset,,,1,,,0
0x600128,,_ZN18CVisibilityPlugins20ms_framePluginOffsetE,CVisibilityPlugins::ms_framePluginOffset,,,1,,,0
0x60012C,,_ZN18CVisibilityPlugins20ms_clumpPluginOffsetE,CVisibilityPlugins::ms_clumpPluginOffset,,,1,,,0
0x600C1C,,_ZTV11CAutomobile,`vtable for'CAutomobile,,,1,,,0
0x600CC8,,MIN_WAKE_INTERVAL,MIN_WAKE_INTERVAL,,,1,,,0
0x600CCC,,WAKE_LIFETIME,WAKE_LIFETIME,,,1,,,0
0x600EA4,,_ZTV5CBoat,`vtable for'CBoat,,,1,,,0
0x6013E4,,HandlingFilename,HandlingFilename,char *,,4,,,0
0x601EB0,,_ZTV5CHeli,`vtable for'CHeli,,,1,,,0
0x6021DC,,_ZTV6CPlane,`vtable for'CPlane,,,1,,,0
0x60241C,,_ZTV6CTrain,`vtable for'CTrain,,,1,,,0
0x60252C,,_ZN8CVehicle23m_bDisableMouseSteeringE,CVehicle::m_bDisableMouseSteering,char,,1,,,0
0x6028A8,,_ZTV8CVehicle,`vtable for'CVehicle,,,1,,,0
0x602CDC,,_ZL11AudioHandle,AudioHandle,,,1,,,0
0x603334,,_ZN11CWeaponInfo15ms_aWeaponNamesE,CWeaponInfo::ms_aWeaponNames,,,1,,,0
0x607094,,_ZL24MissionAudioNameSfxAssoc,MissionAudioNameSfxAssoc,,,1,,,0
0x60ABD0,,_ZZN13cAudioManager10ComputePanEfP7CVectorE8PanTable,"cAudioManager::ComputePan(float,CVector *)::PanTable",char[],,1,,,0
0x60ED84,,g_nMissionAudioSfx,g_nMissionAudioSfx,,,1,,,0
0x60ED88,,g_nMissionAudioPlayingStatus,g_nMissionAudioPlayingStatus,,,1,,,0
0x60F000,,dwIsCameraNotBeingUpdated,dwIsCameraNotBeingUpdated,,,1,,,0
0x60F018,,lpClassName,lpClassName,LPCSTR,,4,,,0
0x61033C,,_ZL16DefaultVideoMode,DefaultVideoMode,,,1,,,0
0x61052C,,CBArray,CBArray,int[],,4,,,0
0x611564,,TimeToStayFadedBeforeFadeOut,TimeToStayFadedBeforeFadeOut,,,1,,,0
0x617BF0,,_ZL14numberTextures,numberTextures,,,1,,,0
0x617CAC,,_ZN7CReplay14bReplayEnabledE,CReplay::bReplayEnabled,,,1,,,0
0x61807C,,_rwRasterConvTable,_rwRasterConvTable,int[],,4,,,0
0x6182F4,,_ZN8CIniFile19PedNumberMultiplierE,CIniFile::PedNumberMultiplier,,,1,,,0
0x6182F8,,_ZN8CIniFile19CarNumberMultiplierE,CIniFile::CarNumberMultiplier,,,1,,,0
0x618980,,atomicTKList,atomicTKList,,,1,,,0
0x618998,,clumpTKList,clumpTKList,,,1,,,0
0x618E58,,engineTKList,engineTKList,,,1,,,0
0x619134,,cameraTKList,cameraTKList,,,1,,,0
0x619190,,textureTKList,textureTKList,,,1,,,0
0x6191A8,,texDictTKList,texDictTKList,,,1,,,0
0x6191C8,,imageTKList,imageTKList,,,1,,,0
0x619274,,geometryTKList,geometryTKList,,,1,,,0
0x61928C,,rasterTKList,rasterTKList,,,1,,,0
0x6192A4,,materialTKList,materialTKList,,,1,,,0
0x6192BC,,defaultSurfaceProperties,defaultSurfaceProperties,,,1,,,0
0x6192C8,,worldTKList,worldTKList,,,1,,,0
0x619468,,MaxMultisamplingLevels,MaxMultisamplingLevels,,,1,,,0
0x61946C,,SelectedMultisamplingLevels,SelectedMultisamplingLevels,,,1,,,0
0x619470,,FullScreenRefreshRateInHz,FullScreenRefreshRateInHz,,,1,,,0
0x619474,,LastVertexShaderUsed,LastVertexShaderUsed,,,1,,,0
0x619478,,LastPixelShaderUsed,LastPixelShaderUsed,,,1,,,0
0x61947C,,LastVertexBufferUsed,LastVertexBufferUsed,,,1,,,0
0x619480,,LastIndexBufferUsed,LastIndexBufferUsed,,,1,,,0
0x619484,,LastBaseIndex,LastBaseIndex,,,1,,,0
0x619488,,_ZZ18_rwDeviceGetHandleE12OpenGLDevice,_rwDeviceGetHandle::OpenGLDevice,,,1,,,0
0x619554,,lightTKList,lightTKList,,,1,,,0
0x619D8C,,_rxHeapInitialSize,_rxHeapInitialSize,,,1,,,0
0x619D90,,_rxPipelineMaxNodes,_rxPipelineMaxNodes,,,1,,,0
0x61A0C8,,dwTlsIndex,dwTlsIndex,DWORD,,4,,,0
0x61A884,,MeshopStatic,MeshopStatic,,,1,,,0
0x61A89C,,sectorTKList,sectorTKList,,,1,,,0
0x61A8B8,,dwBumpMapPShaderPixelShader,dwBumpMapPShaderPixelShader,,,1,,,0
0x61A998,,dwBumpEnvMapPShaderPixelShader,dwBumpEnvMapPShaderPixelShader,,,1,,,0
0x61AA20,,NeedToValidateModulate2X,NeedToValidateModulate2X,,,1,,,0
0x61AA24,,NeedToValidateDiffuseInStage0,NeedToValidateDiffuseInStage0,,,1,,,0
0x61AB40,,ImmRenderSetup,ImmRenderSetup,,,1,,,0
0x61ABE8,,ImmMangleTriangleIndices,ImmMangleTriangleIndices,,,1,,,0
0x61AF68,,nodeImmInstanceCSL,nodeImmInstanceCSL,,,1,,,0
0x61B410,,nodeD3D8SubmitNoLight,nodeD3D8SubmitNoLight,,,1,,,0
0x61B4B8,,nodeD3D8ImmStash,nodeD3D8ImmStash,,,1,,,0
0x61B61C,,MaxLightIndex,MaxLightIndex,,,1,,,0
0x61B640,,nodeD3D8WorldSectorAllInOne,nodeD3D8WorldSectorAllInOne,,,1,,,0
0x61B6A0,,nodeD3D8AtomicAllInOneCSL,nodeD3D8AtomicAllInOneCSL,,,1,,,0
0x61B7E0,,WorldSectorEnumerateLights,WorldSectorEnumerateLights,,,1,,,0
0x61BDCC,,TlsIndex,TlsIndex,,,1,,,0
0x61BDD0,,TlsCallbacks,TlsCallbacks,,,1,,,0
0x621000,,_ZL16gpAnimBlendClump,gpAnimBlendClump,,,1,,,0
0x621028,,_ZL15pFrameDataFound,pFrameDataFound,,,1,,,0
0x621030,,_ZL13gCdImageNames,gCdImageNames,_BYTE[576],,576,,,0
0x621270,,_ZL10gNumImages,gNumImages,,,1,,,0
0x621278,,hObject,hObject,HANDLE,,4,,,0
0x621298,,hThread,hThread,HANDLE,,4,,,0
0x62129C,,hHandle,hHandle,HANDLE,,4,,,0
0x6212A0,,ThreadId,ThreadId,DWORD,,4,,,0
0x6212A8,,hMem,hMem,HLOCAL,,4,,,0
0x6212B8,,lastPosnRead,lastPosnRead,,,1,,,0
0x6212DC,,pIslandLODindustEntity,pIslandLODindustEntity,,,1,,,0
0x6212E0,,pIslandLODcomIndEntity,pIslandLODcomIndEntity,,,1,,,0
0x6212E4,,pIslandLODcomSubEntity,pIslandLODcomSubEntity,,,1,,,0
0x6212E8,,pIslandLODsubIndEntity,pIslandLODsubIndEntity,,,1,,,0
0x6212EC,,pIslandLODsubComEntity,pIslandLODsubComEntity,,,1,,,0
0x6212F8,,_ZZN10CStreaming21StreamVehiclesAndPedsEvE18timeBeforeNextLoad,CStreaming::StreamVehiclesAndPeds(void)::timeBeforeNextLoad,,,1,,,0
0x621300,,_ZL15islandLODcomInd,islandLODcomInd,,,1,,,0
0x621644,,_ZZN10CCollision15TestLineOfSightERK8CColLineRK7CMatrixR9CColModelbE12matTransform,"CCollision::TestLineOfSight(CColLine const&,CMatrix const&,CColModel &,bool)::matTransform",,,1,,,0
0x623158,,_ZZN10CCollision16ProcessColModelsERK7CMatrixR9CColModelS2_S4_P9CColPointS6_PfE5matAB,"CCollision::ProcessColModels(CMatrix const&,CColModel &,CMatrix const&,CColModel &,CColPoint *,CColPoint *,float *)::matAB",,,1,,,0
0x6231B0,,_ZZN10CCollision16ProcessColModelsERK7CMatrixR9CColModelS2_S4_P9CColPointS6_PfE5matBA,"CCollision::ProcessColModels(CMatrix const&,CColModel &,CMatrix const&,CColModel &,CColPoint *,CColPoint *,float *)::matBA",,,1,,,0
0x6283A0,,_ZL11gMaxEntries,gMaxEntries,,,1,,,0
0x6283A8,,_ZL24PhoneEnableControlsTimer,PhoneEnableControlsTimer,,,1,,,0
0x6283AC,,_ZL23bDisplayingPhoneMessage,bDisplayingPhoneMessage,,,1,,,0
0x6283B0,,_ZL24pPhoneDisplayingMessages,pPhoneDisplayingMessages,,,1,,,0
0x6283B4,,_ZL15bPickingUpPhone,bPickingUpPhone,,,1,,,0
0x6283B8,,_ZL12pCallBackPed,pCallBackPed,,,1,,,0
0x628C30,,_ZZN7CCamera10CamControlEvE7ReqMode,CCamera::CamControl(void)::ReqMode,,,1,,,0
0x628C8D,,_ZZN7CCamera7ProcessEvE32WasPreviouslyInterSyhonFollowPed,CCamera::Process(void)::WasPreviouslyInterSyhonFollowPed,,,1,,,0
0x628CA0,,_ZZN7CCamera26ProcessObbeCinemaCameraPedEvE10PedOldMode,CCamera::ProcessObbeCinemaCameraPed(void)::PedOldMode,,,1,,,0
0x628CA8,,_ZZN7CCamera26ProcessObbeCinemaCameraPedEvE14PedTimeForNext,CCamera::ProcessObbeCinemaCameraPed(void)::PedTimeForNext,,,1,,,0
0x628CAD,,_ZZN7CCamera28Process_Train_Camera_ControlEvE19OKtoGoBackToNodeCam,CCamera::Process_Train_Camera_Control(void)::OKtoGoBackToNodeCam,,,1,,,0
0x628CC8,,_ZL18gpRelatedModelInfo,gpRelatedModelInfo,CSimpleModelInfo *,,4,,,0
0x628CF8,,_ZL20TimeToStopPadShaking,TimeToStopPadShaking,,,1,,,0
0x628CFC,,_ZL25bFrontEnd_ReloadObrTxtGxt,bFrontEnd_ReloadObrTxtGxt,,,1,,,0
0x628D00,,_ZL11pEditString,pEditString,,,1,,,0
0x628D08,,_ZL12pControlEdit,pControlEdit,,,1,,,0
0x628D0C,,_ZL22MouseButtonJustClicked,MouseButtonJustClicked,,,1,,,0
0x628D10,,_ZL20JoyButtonJustClicked,JoyButtonJustClicked,,,1,,,0
0x628D14,,_ZL24DisplayComboButtonErrMsg,DisplayComboButtonErrMsg,,,1,,,0
0x628D30,,_ZL10TEXT_COLOR,TEXT_COLOR,,,1,,,0
0x628D34,,_ZZN12CMenuManager18DrawFrontEndNormalEvE8LastFade,CMenuManager::DrawFrontEndNormal(void)::LastFade,,,1,,,0
0x628D5C,,_ZZN12CMenuManager20ProcessButtonPressesEvE12LastKeyPress,CMenuManager::ProcessButtonPresses(void)::LastKeyPress,,,1,,,0
0x628D88,CGame,_ZL11gameTxdSlot,gameTxdSlot,int,,4,,,0
0x628DC4,,_ZL6splash,splash,,,1,,,0
0x628DC8,,_ZZ21GetRandomSplashScreenvE10splashName,GetRandomSplashScreen(void)::splashName,char[128],,128,,,0
0x628E48,,_ZZ21GetRandomSplashScreenvE6index2,GetRandomSplashScreen(void)::index2,,,1,,,0
0x628E64,,_ZZN4CPad28ReconcileTwoControllersInputERK16CControllerStateS2_E10ReconState,"CPad::ReconcileTwoControllersInput(CControllerState const&,CControllerState const&)::ReconState",,,1,,,0
0x628E9A,,_ZZN4CPad16GetAnaloguePadUpEvE10oldfStickY,CPad::GetAnaloguePadUp(void)::oldfStickY,,,1,,,0
0x628E9E,,_ZZN4CPad18GetAnaloguePadDownEvE10oldfStickY,CPad::GetAnaloguePadDown(void)::oldfStickY,,,1,,,0
